Month-Year,SENADOR,VALOR_REEMBOLSADO,Contagem_Mes
2009-08-01,RENATO CASAGRANDE,12078.68,5
2009-08-01,ROBERTO CAVALCANTI,2500.0,5
2009-08-01,ROMERO JUCÁ,11230.86,5
2009-08-01,ROMEU TUMA,20945.7,5
2009-08-01,ROSALBA CIARLINI,15424.82,5
2009-08-01,SERYS SLHESSARENKO,12319.61,5
2009-08-01,SÉRGIO GUERRA,13356.3,5
2009-08-01,SÉRGIO ZAMBIASI,5272.39,5
2009-08-01,TIÃO VIANA,12020.09,5
2009-08-01,VALDIR RAUPP,26177.0,5
2009-08-01,VALTER PEREIRA,15495.51,5
2009-08-01,WELLINGTON SALGADO DE OLIVEIRA,10917.9,5
2009-09-01,ADELMIR SANTANA,15000.0,6
2009-09-01,ALMEIDA LIMA,20769.05,6
2009-09-01,ALOIZIO MERCADANTE,10557.1,6
2009-09-01,ANTONIO CARLOS JUNIOR,12989.93,6
2009-09-01,ANTÔNIO CARLOS VALADARES,11700.0,6
2009-09-01,ARTHUR VIRGÍLIO,15400.0,6
2009-09-01,AUGUSTO BOTELHO,14010.31,6
2009-09-01,CRISTOVAM BUARQUE,3792.51,6
2009-09-01,CÉSAR BORGES,15514.84,6
2009-09-01,CÍCERO LUCENA,14999.14,6
2009-09-01,DELCIDIO DO AMARAL,14932.05,6
2009-09-01,DEMÓSTENES TORRES,15000.0,6
2009-09-01,EDUARDO AZEREDO,14736.97,6
2009-09-01,EDUARDO SUPLICY,2759.2,6
2009-09-01,EFRAIM MORAIS,25744.39,6
2009-09-01,ELISEU RESENDE,16320.8,6
2009-09-01,EPITÁCIO CAFETEIRA,10634.02,6
2009-09-01,EXPEDITO JUNIOR,15000.0,6
2009-09-01,FERNANDO COLLOR,14964.41,6
2009-09-01,FLEXA RIBEIRO,15001.41,6
2009-09-01,FLÁVIO ARNS,10026.1,6
2009-09-01,FLÁVIO TORRES,10645.26,3
2009-09-01,FRANCISCO DORNELLES,14773.77,6
2009-09-01,FÁTIMA CLEIDE,15202.880000000001,6
2009-09-01,GARIBALDI ALVES FILHO,18973.88,6
2009-09-01,GERALDO MESQUITA JÚNIOR,15306.890000000001,6
2009-09-01,GERSON CAMATA,4197.7,6
2009-09-01,GILBERTO GOELLNER,14765.52,6
2009-09-01,GILVAM BORGES,15000.0,6
2009-09-01,GIM ARGELLO,6000.0,6
2009-09-01,HERÁCLITO FORTES,19453.420000000002,6
2009-09-01,IDELI SALVATTI,15393.3,6
2009-09-01,INÁCIO ARRUDA,14383.23,6
2009-09-01,JARBAS VASCONCELOS,14995.79,6
2009-09-01,JEFFERSON PRAIA,4845.12,2
2009-09-01,JOSÉ AGRIPINO,9377.32,6
2009-09-01,JOSÉ NERY,11257.38,6
2009-09-01,JOSÉ SARNEY,5000.0,6
2009-09-01,JOÃO DURVAL,15095.0,6
2009-09-01,JOÃO PEDRO,17281.29,6
2009-09-01,JOÃO RIBEIRO,13000.0,6
2009-09-01,JOÃO TENÓRIO,3829.02,2
2009-09-01,JOÃO VICENTE CLAUDINO,12295.779999999999,6
2009-09-01,KÁTIA ABREU,15000.0,6
2009-09-01,LEOMAR QUINTANILHA,6630.01,6
2009-09-01,LOBÃO FILHO,14900.0,6
2009-09-01,LÚCIA VÂNIA,15147.050000000001,6
2009-09-01,MAGNO MALTA,11508.43,6
2009-09-01,MARCELO CRIVELLA,12365.64,6
2009-09-01,MARCONI PERILLO,14618.250000000002,6
2009-09-01,MARIA DO CARMO ALVES,5170.21,6
2009-09-01,MARINA SILVA,8580.92,6
2009-09-01,MARISA SERRANO,17791.41,6
2009-09-01,MAURO FECURY,797.01,3
2009-09-01,MOZARILDO CAVALCANTI,9787.57,6
2009-09-01,MÁRIO COUTO,15779.99,6
2009-09-01,MÃO SANTA,14999.65,6
2009-09-01,NEUTO DE CONTO,13190.78,6
2009-09-01,OSMAR DIAS,17562.52,6
2009-09-01,OSVALDO SOBRINHO,2000.0,1
2009-09-01,PAPALÉO PAES,13571.779999999999,6
2009-09-01,PAULO DUQUE,7536.58,5
2009-09-01,PAULO PAIM,16192.14,6
2009-09-01,RAIMUNDO COLOMBO,14972.9,6
2009-09-01,RENAN CALHEIROS,9649.57,6
2009-09-01,RENATO CASAGRANDE,12388.449999999999,6
2009-09-01,ROBERTO CAVALCANTI,3200.0,6
2009-09-01,ROMERO JUCÁ,20789.75,6
2009-09-01,ROMEU TUMA,4859.4400000000005,6
2009-09-01,ROSALBA CIARLINI,14664.58,6
2009-09-01,SADI CASSOL,6438.26,1
2009-09-01,SERYS SLHESSARENKO,13367.33,6
2009-09-01,SÉRGIO GUERRA,12746.99,6
2009-09-01,SÉRGIO ZAMBIASI,5044.68,6
2009-09-01,TASSO JEREISSATI,4600.0,3
2009-09-01,TIÃO VIANA,10851.52,6
2009-09-01,VALDIR RAUPP,14900.0,6
2009-09-01,VALTER PEREIRA,14671.17,6
2009-09-01,WELLINGTON SALGADO DE OLIVEIRA,13008.64,6
